times,startx,starty,endx,endy,velocity
0.897777778,0.01195598,0.064488323,0.003484846,0.117788669,0.137989726
0.9,0.055428235,0.085066893,0.016949381,0.040489089,0.207433455
0.9,0.034253038,0.108386645,0.044140555,0.116564877,0.139556713
0.901666667,0.0523391,0.064828845,0.068117925,0.069906063,0.183043088
0.904722222,0.039666728,0.114877246,0.043757225,0.111053034,0.099305234
0.906388889,0.052505311,0.107289831,0.023695357,0.0761224,0.153563209
0.908888889,0.027241845,0.076836504,0.019584913,0.072168112,0.121827521
0.914444444,0.030954916,0.113655886,0.062075998,0.107513753,0.158827619
0.915,0.068801351,0.061301837,0.04612339,0.090661973,0.200232422
0.916666667,0.011662921,0.08974202,0.005602081,0.115857432,0.098988868
0.917222222,0.021751835,0.080123986,0.000838019,0.006851488,0.206562827
0.9175,0.01584384,0.077286212,0.01927522,0.082973485,0.126518987
0.919444444,0.030789349,0.079847777,0.017035442,0.077238391,0.176214274
0.920277778,0.031844757,0.088204168,0.007613722,0.113338709,0.099592144
0.920833333,0.060932891,0.112943071,0.049223952,0.098799292,0.182097799
0.921111111,0.03531046,0.054674233,0.054430604,0.068547475,0.12750052
0.923055556,0.016464344,0.079879649,0.077312059,0.079377365,0.140693152
0.923333333,0.033483905,0.079896808,0.049663909,0.069264428,0.201441696
0.923611111,0.01159317,0.089928343,0.028082698,0.10913702,0.136023931
0.923888889,0.054946514,0.0593985,0.046948676,0.073315449,0.162317357
0.924444444,0.015786221,0.079383675,0.087434166,0.060381848,0.171717861
0.925555556,0.027019468,0.076283087,0.046914531,0.085754754,0.176277234
0.925833333,0.029789237,0.11895273,0.071156329,0.113789989,0.182353386
0.926111111,0.030407445,0.106288462,0.004024875,0.10817137,0.099914831
0.926111111,0.012174551,0.07211094,0.065924112,0.070535588,0.202068382
0.929444444,0.034134743,0.106522923,0.081066455,0.09537741,0.22009277
0.932777778,0.011987232,0.068494725,0.021811751,0.073821185,0.113329264
0.934722222,0.029103814,0.106179068,0.043639541,0.129864084,0.200889389
0.934722222,0.029815446,0.118914431,0.044284209,0.11913444,0.12674834
0.935277778,0.043762568,0.113739204,0.062310179,0.108657344,0.177975139
0.935833333,0.011360084,0.090429965,0.058409241,0.10611701,0.204751771
0.940277778,0.049462427,0.117115432,0.045687906,0.110591482,0.145880709
0.940277778,0.009603114,0.05445221,0.022014247,0.052492048,0.212365681
0.9425,0.02975045,0.118909468,0.047061908,0.120833158,0.190014692
0.943333333,0.029830062,0.127935552,0.038568712,0.129081049,0.133312052
0.944444444,0.022578421,0.079250355,0.03479483,0.087938668,0.140539799
0.945,0.01221702,0.078591715,0.027513478,0.064049053,0.190910128
0.950833333,0.02582023,0.067910341,0.034412152,0.124411274,0.203906544
0.950833333,0.012080444,0.074721455,0.087766793,0.111682108,0.201477851
0.951111111,0.023559942,0.049853564,0.044629269,0.040340522,0.166113104
0.954444444,0.032128164,0.116598704,0.041081086,0.089147658,0.101115592
0.955833333,0.045497081,0.11744759,0.040892709,0.110373989,0.072001245
0.958888889,0.024359672,0.079291441,0.053512734,0.070106397,0.15368262
0.961944444,0.029576893,0.106011901,0.028441069,0.129729853,0.185428374
0.961944444,0.027133337,0.07965906,0.008240931,0.116225503,0.146558703
0.964444444,0.055151338,0.084992912,0.04632342,0.080436604,0.153492701
0.965555556,0.029733804,0.11005566,0.023399008,0.067870539,0.133306583
0.973333333,0.030748991,0.106295736,0.051495265,0.113193206,0.140798137
0.973611111,0.043757225,0.111053034,0.052824558,0.09794852,0.123372737
0.975277778,0.057445966,0.091569536,0.054599639,0.084858543,0.097920684
0.976666667,0.022321578,0.084220762,0.070827393,0.087557422,0.205679894
0.9775,0.04637868,0.081947143,0.055446488,0.093917241,0.109214091
0.978055556,0.025585429,0.133883888,0.023892152,0.144588986,0.094702614
0.979444444,0.03312523,0.119051635,0.063384295,0.113678335,0.166621703
0.980555556,0.031250436,0.077714852,0.023645324,0.05622388,0.123784186
0.981111111,0.033717561,0.112508285,0.039608513,0.129215075,0.147967266
0.985833333,0.01495744,0.072621657,0.052636161,0.062451447,0.208763412
0.986111111,0.011474362,0.089713293,0.001649905,0.113970521,0.118362326
0.986388889,0.07620609,0.116754773,0.052588407,0.088046274,0.155978583
0.9875,0.029383939,0.105413267,0.041473895,0.115822132,0.172469368
0.987777778,0.029327463,0.105824491,0.065197688,0.109305009,0.224851438
0.988055556,0.035238592,0.0755593,0.019219307,0.083166237,0.105348528
0.99,0.029269122,0.075696335,0.059827922,0.085954507,0.200422475
0.99,0.016187277,0.038254704,0.019889831,0.029055315,0.205169675
0.990555556,0.043868889,0.117149526,0.035531229,0.127905198,0.138005337
0.991111111,0.029390478,0.073678966,0.055045175,0.05605398,0.228677957
0.993888889,0.031632922,0.059329707,0.020600953,0.028737961,0.116374246
0.996666667,0.029731789,0.118913416,0.004138756,0.105952827,0.098264012
0.999166667,0.029882117,0.119096841,0.006557649,0.107518472,0.110028806
0.999166667,0.034058342,0.107429657,0.052160962,0.088495443,0.200221125
1.002222222,0.025815985,0.056929647,0.037228464,0.080257068,0.096084361
1.003888889,0.029900334,0.106221082,0.027153442,0.115119998,0.101598797
1.005555556,0.027223396,0.062265351,0.034488012,0.054561281,0.195489594
1.006111111,0.051302883,0.073033581,0.078399154,0.071280397,0.159984527
1.0075,0.025929172,0.068852721,0.036915242,0.107962145,0.124568449
1.008055556,0.030878429,0.110869355,0.056964773,0.101929262,0.175393537
1.008333333,0.012213029,0.079107248,0.033215215,0.101893451,0.140680344
1.008333333,0.026783274,0.088758906,0.037118024,0.081345687,0.201704724
1.012777778,0.012193255,0.073953625,0.058127253,0.056880388,0.168818857
1.013055556,0.033144665,0.08479107,0.054062675,0.080655013,0.187684062
1.014166667,0.029548409,0.128052856,0.031769934,0.071726556,0.145680065
1.015833333,0.040706242,0.11553694,0.006201937,0.139931806,0.129910595
1.0175,0.015478976,0.075572922,0.071993268,0.083219731,0.052015559
1.018055556,0.032802705,0.118279221,0.006535724,0.106099138,0.135719819
1.018611111,0.02915855,0.114932796,0.038342802,0.106917679,0.077259647
1.018888889,0.028035514,0.114633901,0.046314314,0.086666268,0.156818822
1.019444444,0.029878065,0.119015037,0.049965595,0.085380544,0.092786139
1.02,0.011995141,0.067699182,0.060826968,0.062585227,0.201087558
1.021111111,0.012289264,0.075159205,0.022710141,0.070928192,0.052583613
1.022777778,0.035137739,0.061328433,0.041239597,0.084081083,0.132093365
1.029166667,0.029783156,0.119038238,0.00189756,0.130583125,0.080542242
1.029444444,0.02757242,0.076758758,0.029109615,0.135189144,0.25352069
1.029444444,0.012016777,0.089107227,0.073156246,0.081042786,0.230538451
1.030277778,0.039071771,0.080617231,0.027148653,0.074122133,0.098545982
1.031666667,0.034967167,0.112697736,0.02889994,0.116448921,0.082306228
1.031666667,0.007828777,0.088578773,0.056642297,0.102587049,0.205648572
1.0325,0.058653957,0.074594336,0.070103142,0.087178825,0.181207006
1.034444444,0.057333224,0.102041579,0.067243601,0.109826618,0.125675659
1.034444444,0.025632989,0.112091562,0.038109544,0.100032771,0.21174863
1.035555556,0.033313703,0.115387097,0.083936719,0.104589718,0.155544326
1.038333333,0.037138305,0.085267069,0.075069415,0.10270721,0.217817657
1.042222222,0.0041377,0.087107634,1.08E-05,0.14442042,0.114161278
1.043888889,0.05117006,0.075365309,0.058282984,0.060347321,0.161681543
1.045,0.021660389,0.067828232,0.048405375,0.077513087,0.256642279
1.046666667,0.051683317,0.114454174,0.04212311,0.12899961,0.164465716
1.048888889,0.01201501,0.061428249,0.007797685,0.088030112,0.180228077
1.051944444,0.037662935,0.091778392,0.016049642,0.078690034,0.223495089
1.052777778,0.029679296,0.109702232,0.007323078,0.111773479,0.156641591
1.054444444,0.038898934,0.114646672,0.055889513,0.093832857,0.186009909
1.054444444,0.036102761,0.124267223,0.030852487,0.131094324,0.16491968
1.055,0.023415336,0.079332172,0.032721731,0.087421253,0.199954697
1.059166667,0.033203971,0.111024541,0.024352332,0.07945208,0.19162878
1.059166667,0.008548691,0.074699843,0.053585026,0.111791829,0.256459572
1.059722222,0.060909511,0.105878062,0.070065671,0.097597509,0.27604073
1.060555556,0.069742852,0.093005541,0.028055648,0.065815286,0.198202316
1.060833333,0.052506242,0.062205996,0.063347348,0.092629133,0.114890549
1.065277778,0.046362243,0.102205973,0.080608919,0.117870993,0.217265561
1.067222222,0.033578304,0.120031935,0.038391576,0.12689133,0.208047002
1.068611111,0.046744339,0.115650526,0.030227646,0.109481707,0.069066313
1.071111111,0.0511841,0.100139156,0.05894258,0.056447405,0.194344176
1.071388889,0.031763856,0.11032172,0.007233481,0.116565008,0.148411503
1.071944444,0.051047569,0.083414138,0.072608389,0.095565324,0.23082106
1.076388889,0.024678695,0.133807487,0.028583386,0.08457711,0.179219699
1.077777778,0.005136348,0.086461179,0.019576703,0.011587833,0.479077337
1.078611111,0.065733508,0.057222079,0.054963532,0.066658253,0.187448729
1.079444444,0.034967656,0.112714789,0.07464806,0.116939396,0.177354037
1.080555556,0.062090979,0.105833945,0.02741317,0.031385965,0.205892589
